trips_year,trips_month,DayOfWeekStartTimeNumber,DayOfWeekStartTimeAt,WeekNumber,usertype,trips_average
2014,1,3,Wednesday,1,Subscriber,704
2014,1,3,Wednesday,3,Customer,1398
2014,1,3,Wednesday,3,Subscriber,625
2014,1,3,Wednesday,4,Customer,3095
2014,1,3,Wednesday,4,Subscriber,579
2014,1,3,Wednesday,5,Customer,890
2014,1,3,Wednesday,5,Subscriber,616
2014,1,4,Thursday,1,Subscriber,693
2014,1,4,Thursday,2,Customer,1157
2014,1,4,Thursday,2,Subscriber,685
2014,1,4,Thursday,3,Customer,990
2014,1,4,Thursday,3,Subscriber,703
2014,1,4,Thursday,4,Customer,833
2014,1,4,Thursday,4,Subscriber,563
2014,1,4,Thursday,5,Customer,1340
2014,1,4,Thursday,5,Subscriber,658
2014,1,5,Friday,1,Subscriber,583
2014,1,5,Friday,2,Customer,899
2014,1,5,Friday,2,Subscriber,653
2014,1,5,Friday,3,Customer,2804
2014,1,5,Friday,3,Subscriber,625
2014,1,5,Friday,4,Customer,646
2014,1,5,Friday,4,Subscriber,529
2014,1,5,Friday,5,Customer,1608
2014,1,5,Friday,5,Subscriber,599
2014,1,6,Saturday,1,Customer,876
2014,1,6,Saturday,1,Subscriber,1082
2014,1,6,Saturday,2,Customer,1270
2014,1,6,Saturday,2,Subscriber,676
2014,1,6,Saturday,3,Customer,2207
2014,1,6,Saturday,3,Subscriber,628
2014,1,6,Saturday,4,Customer,987
2014,1,6,Saturday,4,Subscriber,721
2014,1,7,Sunday,2,Customer,1888
2014,1,7,Sunday,2,Subscriber,737
2014,1,7,Sunday,3,Customer,1722
2014,1,7,Sunday,3,Subscriber,745
2014,1,7,Sunday,4,Customer,1244
2014,1,7,Sunday,4,Subscriber,684
2014,1,7,Sunday,5,Customer,1388
2014,1,7,Sunday,5,Subscriber,641
2014,2,1,Monday,6,Customer,1255
2014,2,1,Monday,6,Subscriber,723
2014,2,1,Monday,7,Customer,734
2014,2,1,Monday,7,Subscriber,846
2014,2,1,Monday,8,Customer,1244
2014,2,1,Monday,8,Subscriber,700
2014,2,1,Monday,9,Customer,769
2014,2,1,Monday,9,Subscriber,599
2014,2,2,Tuesday,6,Customer,1127
2014,2,2,Tuesday,6,Subscriber,648
2014,2,2,Tuesday,7,Customer,1194
2014,2,2,Tuesday,7,Subscriber,704
2014,2,2,Tuesday,8,Customer,1809
2014,2,2,Tuesday,8,Subscriber,744
2014,2,2,Tuesday,9,Customer,1094
2014,2,2,Tuesday,9,Subscriber,642
2014,2,3,Wednesday,6,Customer,1393
2014,2,3,Wednesday,6,Subscriber,628
2014,2,3,Wednesday,7,Customer,1299
2014,2,3,Wednesday,7,Subscriber,773
2014,2,3,Wednesday,8,Customer,1178
2014,2,3,Wednesday,8,Subscriber,660
2014,2,3,Wednesday,9,Customer,1125
2014,2,3,Wednesday,9,Subscriber,542
2014,2,4,Thursday,6,Customer,1436
2014,2,4,Thursday,6,Subscriber,855
2014,2,4,Thursday,7,Customer,1006
2014,2,4,Thursday,7,Subscriber,681
2014,2,4,Thursday,8,Customer,1160
2014,2,4,Thursday,8,Subscriber,694
2014,2,4,Thursday,9,Customer,1200
2014,2,4,Thursday,9,Subscriber,524
2014,2,5,Friday,6,Customer,459
2014,2,5,Friday,6,Subscriber,669
2014,2,5,Friday,7,Customer,2986
2014,2,5,Friday,7,Subscriber,591
2014,2,5,Friday,8,Customer,1011
2014,2,5,Friday,8,Subscriber,726
2014,2,5,Friday,9,Customer,2488
2014,2,5,Friday,9,Subscriber,661
2014,2,6,Saturday,5,Customer,1248
2014,2,6,Saturday,5,Subscriber,625
2014,2,6,Saturday,6,Customer,3834
2014,2,6,Saturday,6,Subscriber,803
2014,2,6,Saturday,7,Customer,1281
2014,2,6,Saturday,7,Subscriber,591
2014,2,6,Saturday,8,Customer,1514
2014,2,6,Saturday,8,Subscriber,649
2014,2,7,Sunday,6,Customer,1258
2014,2,7,Sunday,6,Subscriber,664
2014,2,7,Sunday,7,Customer,1074
2014,2,7,Sunday,7,Subscriber,854
2014,2,7,Sunday,8,Customer,1731
2014,2,7,Sunday,8,Subscriber,724
2014,2,7,Sunday,9,Customer,1191
2014,2,7,Sunday,9,Subscriber,629
2014,3,1,Monday,10,Customer,1388
2014,3,1,Monday,10,Subscriber,662
2014,3,1,Monday,11,Customer,1768
2014,3,1,Monday,11,Subscriber,683
2014,3,1,Monday,12,Customer,1909
2014,3,1,Monday,12,Subscriber,637
2014,3,1,Monday,13,Customer,1568
2014,3,1,Monday,13,Subscriber,638
2014,3,1,Monday,14,Customer,1700
2014,3,1,Monday,14,Subscriber,726
2014,3,2,Tuesday,10,Customer,2544
2014,3,2,Tuesday,10,Subscriber,615
2014,3,2,Tuesday,11,Customer,1260
2014,3,2,Tuesday,11,Subscriber,688
2014,3,2,Tuesday,12,Customer,1766
2014,3,2,Tuesday,12,Subscriber,663
2014,3,2,Tuesday,13,Customer,1840
2014,3,2,Tuesday,13,Subscriber,636
2014,3,3,Wednesday,10,Customer,1344
2014,3,3,Wednesday,10,Subscriber,712
2014,3,3,Wednesday,11,Customer,921
2014,3,3,Wednesday,11,Subscriber,674
2014,3,3,Wednesday,12,Customer,1629
2014,3,3,Wednesday,12,Subscriber,653
2014,3,3,Wednesday,13,Customer,1451
2014,3,3,Wednesday,13,Subscriber,632
2014,3,4,Thursday,10,Customer,1290
2014,3,4,Thursday,10,Subscriber,603
2014,3,4,Thursday,11,Customer,2217
2014,3,4,Thursday,11,Subscriber,659
2014,3,4,Thursday,12,Customer,1594
2014,3,4,Thursday,12,Subscriber,644
2014,3,4,Thursday,13,Customer,1164
2014,3,4,Thursday,13,Subscriber,614
2014,3,5,Friday,10,Customer,1556
2014,3,5,Friday,10,Subscriber,655
2014,3,5,Friday,11,Customer,1730
2014,3,5,Friday,11,Subscriber,682
2014,3,5,Friday,12,Customer,1746
2014,3,5,Friday,12,Subscriber,754
2014,3,5,Friday,13,Customer,1442
2014,3,5,Friday,13,Subscriber,622
2014,3,6,Saturday,9,Customer,1195
2014,3,6,Saturday,9,Subscriber,606
2014,3,6,Saturday,10,Customer,1735
2014,3,6,Saturday,10,Subscriber,595
2014,3,6,Saturday,11,Customer,1898
2014,3,6,Saturday,11,Subscriber,845
2014,3,6,Saturday,12,Customer,1907
2014,3,6,Saturday,12,Subscriber,654
2014,3,6,Saturday,13,Customer,1604
2014,3,6,Saturday,13,Subscriber,715
2014,3,7,Sunday,10,Customer,4843
2014,3,7,Sunday,10,Subscriber,606
2014,3,7,Sunday,11,Customer,1444
2014,3,7,Sunday,11,Subscriber,721
2014,3,7,Sunday,12,Customer,1225
2014,3,7,Sunday,12,Subscriber,636
2014,3,7,Sunday,13,Customer,1847
2014,3,7,Sunday,13,Subscriber,550
2014,3,7,Sunday,14,Customer,1765
2014,3,7,Sunday,14,Subscriber,767
2014,4,1,Monday,15,Customer,1203
2014,4,1,Monday,15,Subscriber,689
2014,4,1,Monday,16,Customer,1920
2014,4,1,Monday,16,Subscriber,548
2014,4,1,Monday,17,Customer,1541
2014,4,1,Monday,17,Subscriber,694
2014,4,1,Monday,18,Customer,1430
2014,4,1,Monday,18,Subscriber,588
2014,4,2,Tuesday,14,Customer,1975
2014,4,2,Tuesday,14,Subscriber,704
2014,4,2,Tuesday,15,Customer,1927
2014,4,2,Tuesday,15,Subscriber,684
2014,4,2,Tuesday,16,Customer,1546
2014,4,2,Tuesday,16,Subscriber,668
2014,4,2,Tuesday,17,Customer,1472
2014,4,2,Tuesday,17,Subscriber,688
2014,4,2,Tuesday,18,Customer,1454
2014,4,2,Tuesday,18,Subscriber,665
2014,4,3,Wednesday,14,Customer,1767
2014,4,3,Wednesday,14,Subscriber,658
2014,4,3,Wednesday,15,Customer,2033
2014,4,3,Wednesday,15,Subscriber,743
2014,4,3,Wednesday,16,Customer,1579
2014,4,3,Wednesday,16,Subscriber,695
2014,4,3,Wednesday,17,Customer,1358
2014,4,3,Wednesday,17,Subscriber,652
2014,4,3,Wednesday,18,Customer,1369
2014,4,3,Wednesday,18,Subscriber,650
2014,4,4,Thursday,14,Customer,1040
2014,4,4,Thursday,14,Subscriber,597
2014,4,4,Thursday,15,Customer,1549
2014,4,4,Thursday,15,Subscriber,725
2014,4,4,Thursday,16,Customer,1724
2014,4,4,Thursday,16,Subscriber,710
2014,4,4,Thursday,17,Customer,1728
2014,4,4,Thursday,17,Subscriber,674
2014,4,5,Friday,14,Customer,1707
2014,4,5,Friday,14,Subscriber,668
2014,4,5,Friday,15,Customer,1848
2014,4,5,Friday,15,Subscriber,751
2014,4,5,Friday,16,Customer,1608
2014,4,5,Friday,16,Subscriber,691
2014,4,5,Friday,17,Customer,1762
2014,4,5,Friday,17,Subscriber,758
2014,4,6,Saturday,14,Customer,1743
2014,4,6,Saturday,14,Subscriber,846
2014,4,6,Saturday,15,Customer,1807
2014,4,6,Saturday,15,Subscriber,842
